title,description,link,published,source_name,stakeholders,days_old,recency_label,matched_keywords,trend_score,trend_score_log,extracted_keywords,id,keyword_freq,rarity_score,pestle_tags,summary,approved
"Employment, Social Policy, Health and Consumer Affairs Council (Social, Employment)","Ministers of employment and social affairs met in Brussels for a half-day Council. As part of the annual European Semester cycle, they approved the employment and social aspects of member states’ country-specific recommendations (CSRs), endorsed an opinion by EMCO and the SPC on the assessment and implementation of the CSRs, and discussed labour and skills shortages in the EU. They also held a policy debate on the social inclusion of persons with disabilities at the EU and national level.",https://www.consilium.europa.eu/en/meetings/epsco/2024/07/16/,2024-07-16T00:00:00+02:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council', 'Brussels', 'European Semester', 'EMCO', 'SPC', 'EU']",469.0,Older,"['labour', 'employment', 'skills', 'social', 'inclusion']",12.00000194854682,2.5649495073497426,"csrs, employment, social, day, endorsed",0,5,0.16666666666666666,"Political, Economic, Social, Technological",,False
The unhappy marriage of standardization and activation policy: Welfare bureaucracy and service professionalism in delivering digital social assistance in Finland,"Journal of European Social Policy, Ahead of Print. This article explores the intricate relationship between standardization and activation within the framework of digital welfare provision. It highlights the critical connection between benefits and services in the activation process and the challenges ...",https://journals.sagepub.com/doi/abs/10.1177/09589287251390177?ai=2b4&mi=ehikzz&af=R,2025-10-21T11:53:21+00:00,JESP – Journal RSS,"['Finland', 'Journal of European Social Policy, Ahead of Print']",6.0,Recent (≤ 7 days),"['social', 'activation', 'benefits']",10.91238451846789,2.4775785747858308,"activation, standardization, digital, welfare, assistance",1,3,0.25,"Political, Social, Technological",,False
"Employment, Social Policy, Health and Consumer Affairs Council (Employment and social policy)","EU equality ministers met in Luxembourg to discuss violence against women and domestic violence, discrimination against LGBTIQ persons, social inclusion of persons with disabilities, and ways to advance disability rights in the EU.",https://www.consilium.europa.eu/en/meetings/epsco/2025/10/17/,2025-10-17T12:00:00+02:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council (Employment', 'EU', 'Luxembourg', 'LGBTIQ']",10.0,Last 30 days,"['employment', 'social', 'inclusion']",10.299187863442736,2.424730852643694,"violence, persons, discrimination, disability, ways",2,3,0.25,"Political, Economic, Social, Technological, Legal",,False
"Employment, Social Policy, Health and Consumer Affairs Council (Employment and Social Policy)","Employment and social affairs ministers discussed a range of topics, including traineeships, comprehensive solutions to demographic challenges, the European Semester, labour and skill shortages, social inclusion of persons with disabilities, and women's mental health.",https://www.consilium.europa.eu/en/meetings/epsco/2024/12/02/,2024-12-02T00:00:00+01:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council (Employment and Social Policy', 'the European Semester']",330.0,Older,"['labour', 'employment', 'social', 'inclusion']",9.000150315307112,2.3026001244117844,"employment, social, range, shortages, solutions",3,4,0.2,"Political, Economic, Social, Technological",,False
"Employment, Social Policy, Health and Consumer Affairs Council (Employment and social policy)","On the second day of the EPSCO Council, the focus was on social investment and EU fiscal rules. Employment and social policy ministers also approved conclusions on digitalisation in social security coordination.",https://www.consilium.europa.eu/en/meetings/epsco/2023/11/27-28/,2023-11-27T00:00:00+01:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council (Employment', 'the EPSCO Council', 'EU']",701.0,Older,"['employment', 'social', 'security']",9.00000000064007,2.3025850930580525,"social, employment, policy, day, epsco",4,3,0.25,"Political, Economic, Technological",,False
"Employment, Social Policy, Health and Consumer Affairs Council (Employment and social policy)","EU ministers for employment and social affairs met in Luxembourg to discuss the 2023 European Semester and the impact of new technologies on labour. They reached a political agreement on a recommendation on developing a supportive framework for the social economy. They also approved conclusions on mental health and precarious work, on equal access to adequate housing for Roma, and on social protection for the self-employed.",https://www.consilium.europa.eu/en/meetings/epsco/2023/10/09/,2023-10-09T00:00:00+02:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council (Employment', 'EU', 'Luxembourg', 'European Semester']",750.0,Older,"['labour', 'employment', 'social']",9.000000000124992,2.302585093006545,"social, employment, precarious, housing, technologies",5,3,0.25,"Political, Economic, Technological",,False
"Employment, Social Policy, Health and Consumer Affairs Council (Employment and Social Policy)","In the context of the European Semester, the Council held a policy debate on ways to mitigate the challenges of the ‘silver transformation’ for the EU’s workforce.
Other topics on the agenda related to the European Semester autumn package included the employment and social aspects of the 2025 recommendation on the economic policy of the euro area, the 2025 Joint Employment Report, and the aspects of the medium-term fiscal-structural plans that were relevant to the EPSCO Council.",https://www.consilium.europa.eu/en/meetings/epsco/2025/03/10/,2025-03-10T12:00:00+01:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council (Employment and Social Policy', 'the European Semester', 'Council', 'EU', 'Joint Employment Report', 'the EPSCO Council']",231.0,Older,"['employment', 'social', 'workforce']",8.003622617463094,2.1976270094010273,"aspects, employment, policy, semester, council",6,3,0.25,"Political, Economic, Technological",,False
"Employment, Social Policy, Health and Consumer Affairs Council (Employment and social policy)","Employment and social affairs ministers met in Brussels, where they approved the agreement reached with the European Parliament on a new law that will improve working conditions for platform workers. They also discussed the European Pillar of Social Rights in the framework of the European Semester and the future social agenda.",https://www.consilium.europa.eu/en/meetings/epsco/2024/03/11/,2024-03-11T00:00:00+01:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council (Employment', 'Brussels', 'the European Parliament', 'the European Pillar of Social Rights', 'the European Semester']",596.0,Older,"['platform work', 'employment', 'social']",8.000000018841101,2.197224579429675,"social, employment, pillar, european, affairs",7,3,0.25,"Political, Economic, Technological, Legal",,False
"Employment, Social Policy, Health and Consumer Affairs Council","Ministers of employment and social affairs held an exchange of views on the employment and social situation in the EU, with a particular focus on the labour market situation of refugees from Ukraine. They also exchanged views on the European Semester 2023 and on a proposed Council decision as regards the ratification of the ILO convention concerning the elimination of violence and harassment in the world of work. Other business points included a presentation of recommendations stemming from the mission to Ukraine of the Commission’s Special Advisor on the reception of Ukrainian refugees.
Ministers of health held a policy debate on a draft law on fees and charges payable to the European Medicines Agency and exchanged views on the topic of the EU global health strategy which was presented by the Commission on 30 November 2022. The Council also addressed the implementation of the medical device regulations.",https://www.consilium.europa.eu/en/meetings/epsco/2023/03/13-14/,2023-03-13T00:00:00+01:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council', 'EU', 'Ukraine', 'the European Semester', 'Council', 'the Commission’s Special Advisor', 'Ukrainian', 'the European Medicines Agency', 'Commission']",960.0,Older,"['labour market', 'labour', 'employment', 'social']",8.000000000000101,2.1972245773362307,"views, refugees, situation, exchanged, health",8,4,0.2,"Political, Economic, Technological, Legal",,False
"Employment, Social Policy, Health and Consumer Affairs Council (Employment and social policy)",,https://www.consilium.europa.eu/en/meetings/epsco/2025/12/01/,2025-12-01T12:00:00+01:00,Consilium – EPSCO Meetings,"['Social Policy, Health and Consumer Affairs Council (Employment']",0.0,Upcoming (future),"['employment', 'social']",8.0,2.1972245773362196,"employment, policy, social, consumer, health",9,2,0.3333333333333333,"Political, Economic, Technological",,False
